bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,idade_imovel,foi_reformado,lat,long,zipcode,price
4.0,2.0,2750,7807,1.5,0,0,5,7,2250.0,500,1510,7807,98,0,47.7168,-122.287,98125,571000.0
4.0,2.5,2380,5000,2.0,0,0,3,8,2380.0,0,2420,5000,9,0,47.3608,-122.036,98038,360000.0
3.0,1.75,1790,50529,1.0,0,0,5,7,1090.0,700,1940,50529,50,0,47.3511,-122.073,98042,349000.0
4.0,4.0,3430,35102,2.0,0,0,4,10,2390.0,1040,3240,35020,28,0,47.5822,-121.987,98075,832500.0
4.0,1.75,1760,7300,1.0,0,0,3,7,880.0,880,1680,7500,58,0,47.6034,-122.125,98008,380000.0
3.0,1.0,1040,5060,1.0,0,0,3,7,1040.0,0,890,5060,74,0,47.5636,-122.394,98116,480000.0
3.0,1.0,1410,5060,1.0,0,0,4,7,910.0,500,1130,5693,58,0,47.7073,-122.34,98133,410000.0
4.0,2.5,3450,39683,2.0,0,0,3,10,3450.0,0,3350,39750,13,0,47.342,-122.025,98010,720000.0
3.0,2.5,2350,5100,2.0,0,0,3,8,2350.0,0,2350,5363,11,0,47.3512,-122.008,98038,390000.0
4.0,2.5,1900,5889,2.0,0,0,3,7,1900.0,0,1870,6405,22,0,47.349,-122.031,98038,360000.0
2.0,1.0,2020,6720,1.0,0,0,3,7,1010.0,1010,1720,6720,66,0,47.5474,-122.291,98118,355000.0
3.0,1.5,1680,8712,1.0,0,0,3,8,1680.0,0,1850,8797,51,0,47.4811,-122.149,98059,356000.0
3.0,1.0,960,6634,1.0,0,0,3,6,960.0,0,1570,7203,62,0,47.7264,-122.31,98125,315000.0
3.0,1.5,2140,3600,2.0,0,0,3,9,1900.0,240,2020,4800,89,0,47.6337,-122.365,98119,940000.0
5.0,2.25,2660,8400,1.5,0,0,5,7,2660.0,0,1590,8165,53,0,47.2909,-122.189,98092,305000.0
3.0,3.25,2770,6278,2.0,0,0,3,9,1980.0,790,1900,7349,8,0,47.5228,-122.199,98056,461000.0
2.0,2.25,1610,2040,2.0,0,0,4,7,1610.0,0,1950,2025,35,0,47.518,-122.194,98056,215000.0
2.0,1.75,1030,1066,2.0,0,0,3,7,765.0,265,1030,1106,8,0,47.5394,-122.387,98136,335000.0
4.0,2.5,1980,7403,2.0,0,0,3,7,1980.0,0,1980,7510,26,0,47.2897,-122.372,98023,243500.0
5.0,2.75,3520,6353,2.0,0,0,4,10,3520.0,0,2520,6250,14,0,47.6506,-122.391,98199,1099880.0
3.0,1.0,1200,10500,1.0,0,0,3,7,1200.0,0,1350,10500,53,0,47.322,-122.351,98023,153000.0
3.0,1.5,1580,5000,1.0,0,0,3,8,1290.0,290,1570,4500,75,0,47.687,-122.386,98117,430000.0
3.0,1.5,1580,5000,1.0,0,0,3,8,1290.0,290,1570,4500,75,0,47.687,-122.386,98117,700000.0
4.0,2.5,3300,10250,1.0,0,0,3,7,2390.0,910,1950,6045,68,1,47.5873,-122.249,98040,905000.0
3.0,1.75,1960,15681,1.0,0,0,3,7,1960.0,0,1750,15616,48,0,47.3576,-122.277,98032,247500.0
4.0,1.5,1160,6400,1.0,0,0,4,7,1160.0,0,1160,6400,39,0,47.3036,-122.378,98023,199000.0
3.0,1.75,1810,41800,1.0,0,0,5,7,1210.0,600,1650,135036,34,0,47.4109,-121.958,98038,314000.0
3.0,2.5,2320,36847,2.0,0,2,3,9,2320.0,0,2550,35065,22,0,47.4838,-121.714,98045,437500.0
3.0,2.5,2070,13241,1.5,0,0,5,9,1270.0,800,2200,4500,104,0,47.6415,-122.315,98102,850830.0
3.0,2.0,1980,3478,1.5,0,0,4,7,1440.0,540,1610,3478,85,0,47.6775,-122.372,98117,555000.0
3.0,2.25,2190,107593,2.0,0,0,4,8,2190.0,0,2570,47777,31,0,47.7731,-122.08,98077,699950.0
3.0,2.5,2920,8113,2.0,0,0,3,8,2920.0,0,2370,8113,64,1,47.5814,-122.196,98004,1088000.0
3.0,1.0,1210,33919,1.0,0,0,3,7,1210.0,0,1640,14910,60,0,47.4375,-122.184,98058,290000.0
3.0,2.5,2340,10005,1.0,0,0,4,8,1460.0,880,2250,8162,37,0,47.4431,-122.133,98058,375000.0
3.0,1.0,1670,4005,1.5,0,0,4,7,1170.0,500,1240,4005,75,0,47.6878,-122.38,98117,460000.0
2.0,1.75,1240,2493,1.0,0,0,4,8,1240.0,0,1270,4966,29,0,47.3813,-122.322,98198,188500.0
4.0,2.5,3140,28037,2.0,0,0,4,10,3140.0,0,2990,35001,24,0,47.7304,-122.082,98077,680000.0
5.0,1.75,2030,12342,2.0,0,0,4,7,2030.0,0,2500,9433,72,0,47.6417,-122.109,98052,470000.0
4.0,2.5,2310,9624,2.0,0,0,3,8,2310.0,0,1940,9636,30,0,47.5386,-122.053,98027,597750.0
3.0,1.75,1260,3328,1.0,0,0,5,6,700.0,560,1380,3536,110,0,47.6823,-122.349,98103,570000.0
3.0,1.75,1540,12600,1.0,0,0,4,7,1160.0,380,1540,11656,34,0,47.3624,-122.031,98038,272500.0
3.0,1.75,2080,5969,1.0,0,2,3,7,1080.0,1000,2090,5500,43,0,47.5474,-122.295,98108,329950.0
4.0,2.5,3230,16171,2.0,0,3,3,9,2520.0,710,2640,8517,13,0,47.3183,-122.253,98001,480000.0
3.0,3.5,4380,6350,2.0,0,0,3,8,2780.0,1600,1830,6350,114,1,47.6981,-122.368,98117,740500.0
3.0,3.5,1590,1102,3.0,0,0,3,8,1590.0,0,1620,3166,4,0,47.6824,-122.347,98103,518500.0
2.0,1.0,880,6780,1.0,0,0,4,6,880.0,0,1190,6780,69,0,47.5009,-122.248,98178,205425.0
4.0,2.0,1570,9600,1.0,0,0,3,6,1570.0,0,1880,9000,65,0,47.4965,-122.303,98168,171800.0
4.0,1.0,1610,2982,1.5,0,0,4,7,1610.0,0,1610,4040,90,0,47.587,-122.294,98144,535000.0
3.0,2.5,2400,6474,1.0,0,2,3,8,1560.0,840,2340,10856,51,0,47.7728,-122.386,98177,660000.0
3.0,2.0,1450,9132,1.0,0,0,3,7,1450.0,0,1580,9104,27,0,47.7288,-122.226,98034,391500.0
2.0,1.0,770,6000,1.0,0,0,3,6,770.0,0,1710,6000,62,0,47.6999,-122.364,98117,395000.0
4.0,1.75,2100,4400,1.5,0,0,5,7,1720.0,380,1850,4400,90,0,47.5299,-122.266,98118,445000.0
3.0,2.25,2910,10204,2.0,0,0,3,9,2910.0,0,2700,13992,24,0,47.6897,-122.098,98052,770000.0
4.0,2.75,2750,17789,1.5,0,0,3,8,1980.0,770,3060,11275,101,1,47.6141,-122.212,98004,1450000.0
3.0,2.25,2100,8201,1.0,0,2,3,8,1620.0,480,2660,8712,47,0,47.5091,-122.244,98178,445000.0
4.0,2.25,2160,8811,1.0,0,0,3,8,1360.0,800,2090,8400,36,0,47.3129,-122.39,98023,260000.0
5.0,3.5,2320,4960,2.0,0,0,5,7,1720.0,600,1700,4960,88,0,47.6763,-122.352,98103,822500.0
4.0,2.5,2070,4310,2.0,0,0,3,7,2070.0,0,1970,3748,11,0,47.5319,-121.85,98065,430000.0
3.0,1.75,1060,7875,1.0,0,0,4,7,1060.0,0,1420,7680,29,0,47.2761,-122.152,98092,212000.0
4.0,2.25,2010,9603,1.0,0,0,3,8,1440.0,570,2060,9793,29,0,47.5343,-122.054,98027,660500.0
3.0,3.5,3950,111078,1.5,0,0,3,9,2460.0,1490,2480,88500,25,0,47.697,-122.072,98052,784000.0
3.0,2.5,2010,2287,2.0,0,0,3,8,1390.0,620,1690,1662,0,0,47.5517,-121.998,98029,453246.0
4.0,3.5,2140,2278,3.0,0,0,3,9,2140.0,0,1540,2285,10,0,47.6734,-122.38,98107,675000.0
3.0,1.75,1320,17390,1.0,0,0,4,7,1320.0,0,1550,19265,58,0,47.3257,-122.296,98003,199000.0
4.0,1.75,2020,7840,1.0,0,0,3,7,1010.0,1010,1750,8140,46,0,47.3309,-122.299,98003,220000.0
4.0,2.25,2590,10002,1.0,0,0,4,8,1340.0,1250,1550,10436,46,0,47.7689,-122.266,98028,452000.0
2.0,1.0,1190,4440,1.0,0,0,3,6,1190.0,0,1060,5715,33,0,47.7135,-122.287,98125,382500.0
3.0,2.25,1170,1249,3.0,0,0,3,8,1170.0,0,1350,1310,0,0,47.6722,-122.381,98107,519950.0
2.0,1.0,1110,3200,1.0,0,0,3,7,1110.0,0,1170,3600,89,0,47.6338,-122.358,98119,665000.0
5.0,2.5,2820,9375,1.0,0,0,4,8,1550.0,1270,2820,9375,46,0,47.5707,-122.128,98006,527700.0
3.0,1.0,1610,8579,1.0,0,0,4,7,1010.0,600,1610,8579,53,0,47.4563,-122.171,98058,205000.0
3.0,1.0,1060,8097,1.0,0,0,4,7,940.0,120,1560,7940,92,0,47.7144,-122.351,98133,420000.0
4.0,2.25,2030,8517,1.0,0,0,4,8,1380.0,650,2230,8824,54,0,47.5495,-122.174,98006,500000.0
4.0,2.5,3670,315374,2.0,0,0,4,9,3670.0,0,2840,87991,20,0,47.7421,-122.026,98077,921500.0
4.0,1.0,2550,4000,2.0,0,0,3,8,2370.0,180,2200,4000,109,0,47.6354,-122.353,98109,890000.0
2.0,2.5,2420,60984,2.0,0,0,3,7,2420.0,0,1940,193842,7,0,47.5262,-121.943,98027,430000.0
5.0,2.0,2260,12500,1.0,0,0,4,8,1130.0,1130,1360,18000,54,0,47.3887,-122.286,98032,258000.0
3.0,1.0,1430,3455,1.0,0,0,3,7,980.0,450,1450,4599,67,0,47.6873,-122.336,98103,511000.0
3.0,2.0,1360,3090,2.0,0,0,3,8,1360.0,0,1500,3090,24,0,47.6838,-122.353,98103,532170.0
3.0,1.0,1110,5000,1.5,0,0,3,7,1110.0,0,1420,5000,68,0,47.655,-122.359,98107,560000.0
3.0,1.0,1250,8200,1.0,0,0,4,7,1250.0,0,1680,8633,61,0,47.3255,-122.304,98003,282950.0
4.0,3.25,5180,19850,2.0,0,3,3,12,3540.0,1640,3160,9750,9,0,47.562,-122.162,98006,2250000.0
1.5,1.0,700,5100,1.0,0,0,3,7,700.0,0,1010,5100,72,0,47.679,-122.3,98115,350000.0
3.0,1.0,1180,7669,1.0,0,0,4,7,1180.0,0,1190,7669,47,0,47.4479,-122.176,98058,215000.0
5.0,3.5,3960,25245,2.0,0,0,3,9,2500.0,1460,2640,13675,18,0,47.525,-122.172,98056,650000.0
4.0,2.75,2640,7500,1.0,0,0,3,8,1620.0,1020,1980,7875,47,0,47.3135,-122.369,98023,320000.0
3.0,2.0,1270,7198,1.5,0,0,3,7,1270.0,0,1160,7198,98,1,47.2086,-121.996,98022,247000.0
4.0,1.75,1760,11180,1.0,0,0,4,8,1760.0,0,1730,11180,46,0,47.4715,-122.118,98059,320000.0
5.0,2.25,2060,8632,1.0,0,0,3,7,1030.0,1030,1010,11680,52,0,47.4877,-122.335,98146,255000.0
3.0,1.75,1780,9660,1.0,0,0,3,7,1780.0,0,1200,9660,53,0,47.7171,-122.193,98034,438000.0
3.0,2.5,3400,16603,2.0,0,0,3,10,3400.0,0,3400,12601,15,0,47.6012,-122.023,98075,900000.0
3.0,2.75,1910,7280,1.0,0,0,3,7,1160.0,750,1710,8152,35,0,47.7319,-122.224,98034,441000.0
3.0,2.0,2020,38332,1.0,0,0,4,7,1010.0,1010,2110,36590,39,0,47.4582,-122.023,98027,420000.0
3.0,1.75,1580,7000,1.0,0,0,3,7,1180.0,400,1640,7500,38,0,47.7209,-122.168,98034,370000.0
2.0,1.75,1340,7250,1.0,0,0,5,5,700.0,640,1830,9750,66,0,47.408,-122.327,98198,269950.0
4.0,2.5,2680,4499,2.0,0,0,3,9,2680.0,0,2920,4500,16,0,47.565,-122.125,98006,807100.0
3.0,2.5,2680,9750,1.0,0,0,4,8,1610.0,1070,2480,8750,35,0,47.7028,-122.231,98034,653000.0
3.0,2.0,1370,8336,1.0,0,0,5,7,1370.0,0,1770,7288,50,0,47.7458,-122.331,98133,371500.0
3.0,1.75,1560,21000,1.0,0,0,3,7,1560.0,0,1070,7920,61,0,47.4776,-122.337,98166,284000.0
3.0,1.75,2160,7140,1.0,0,0,4,7,1670.0,490,1930,7350,37,0,47.3026,-122.374,98023,272000.0
3.0,1.5,1340,7912,1.5,0,0,3,7,1340.0,0,1480,7940,59,0,47.7658,-122.339,98133,313000.0
4.0,2.5,3880,35003,2.0,0,0,3,10,2570.0,1310,3740,35230,31,0,47.6477,-122.182,98033,917500.0
4.0,2.25,2590,8190,2.0,0,0,4,8,2590.0,0,2260,8335,34,0,47.5619,-122.125,98006,673000.0
3.0,2.5,1120,1100,2.0,0,0,3,8,820.0,300,1590,1795,7,0,47.6106,-122.31,98122,425000.0
5.0,2.75,1970,5400,1.0,0,0,3,7,1320.0,650,1280,2150,28,0,47.5868,-122.308,98144,399950.0
3.0,1.0,1220,4800,1.0,0,0,3,6,1220.0,0,1200,4800,113,0,47.6101,-122.307,98122,385000.0
3.0,1.5,1950,7560,1.0,0,2,4,7,1320.0,630,1950,8941,39,0,47.1976,-121.999,98022,269950.0
2.0,1.0,1350,8220,1.0,0,0,3,7,1060.0,290,1540,8280,66,0,47.7224,-122.358,98177,330000.0
3.0,2.5,1670,5797,2.0,0,0,3,7,1670.0,0,1670,6183,26,0,47.3505,-122.179,98030,260000.0
4.0,3.0,2380,5125,1.5,0,0,4,7,1680.0,700,1410,5375,90,0,47.5384,-122.376,98126,470000.0
4.0,3.0,2440,9600,2.0,0,0,5,7,2440.0,0,2290,9600,53,0,47.7044,-122.2,98034,589000.0
2.0,1.5,1050,3419,2.0,0,0,3,7,1050.0,0,1050,3417,18,0,47.3848,-122.039,98038,163500.0
4.0,2.75,3130,13412,2.0,0,0,3,9,2140.0,990,2260,9984,21,0,47.6993,-122.102,98052,835000.0
5.0,3.0,4090,12850,1.0,0,2,4,10,2090.0,2000,2540,10270,28,0,47.6627,-122.188,98033,1095000.0
4.0,1.75,1490,10000,1.0,0,0,4,8,1100.0,390,2190,8910,46,0,47.3099,-122.379,98023,269000.0
3.0,2.5,1900,8744,2.0,0,0,3,8,1900.0,0,2030,8744,27,0,47.62,-122.043,98074,560000.0
4.0,1.0,1330,2400,1.5,0,0,4,6,1330.0,0,1330,4400,114,0,47.65,-122.34,98103,615000.0
3.0,2.25,2230,10026,1.0,0,0,3,8,1430.0,800,2230,9340,39,0,47.6647,-122.153,98052,585188.0
3.0,1.75,1650,9480,1.0,0,0,3,7,1220.0,430,1540,8400,37,0,47.726,-122.191,98034,305000.0
3.0,1.0,1190,8820,1.0,0,0,3,6,1190.0,0,1230,7980,55,0,47.4616,-122.184,98058,166950.0
3.0,2.5,2140,9897,1.0,0,0,4,8,2140.0,0,2680,10083,55,0,47.5505,-122.219,98040,799000.0
3.0,2.5,2180,7508,1.0,0,0,4,7,1420.0,760,1900,7818,52,0,47.7606,-122.336,98133,400000.0
3.0,1.0,1060,10228,1.0,0,0,3,7,1060.0,0,1570,10228,66,0,47.7481,-122.3,98155,230000.0
3.0,2.5,1690,5025,2.0,0,0,3,8,1690.0,0,2550,5001,11,0,47.2779,-122.347,98023,256883.0
4.0,2.0,1970,6480,1.5,0,0,5,7,1130.0,840,1500,6480,94,0,47.5511,-122.312,98108,423000.0
3.0,2.5,2150,4084,2.0,0,0,3,8,2150.0,0,1750,2385,7,0,47.5488,-122.372,98126,465000.0
3.0,2.5,1910,66211,2.0,0,0,3,7,1910.0,0,2330,67268,18,0,47.5385,-121.911,98024,440000.0
3.0,1.75,1350,155073,1.0,0,0,4,7,1350.0,0,1560,50965,45,0,47.4058,-121.994,98038,385000.0
3.0,1.0,860,11725,1.0,0,0,4,6,860.0,0,1300,9514,72,0,47.5093,-122.184,98056,210000.0
3.0,2.5,1940,14952,2.0,0,0,3,8,1940.0,0,2030,10450,20,0,47.3777,-122.165,98042,297000.0
3.0,1.0,1010,5000,1.0,0,0,3,7,1010.0,0,1680,5000,62,0,47.675,-122.394,98107,470000.0
3.0,1.5,1300,7370,1.0,0,0,4,7,900.0,400,1430,7500,38,0,47.3025,-122.37,98023,226500.0
3.0,1.0,910,8450,1.0,0,0,4,6,910.0,0,1400,8040,53,0,47.4787,-122.158,98059,274250.0
4.0,1.75,2480,11010,1.0,0,0,4,9,1630.0,850,2770,10744,48,0,47.5378,-122.219,98040,840000.0
3.0,2.5,2440,4587,2.0,0,0,3,8,2440.0,0,2750,4587,4,0,47.7073,-122.114,98052,677900.0
3.0,1.0,1010,5864,1.0,0,0,3,7,1010.0,0,1290,5000,100,0,47.5733,-122.381,98116,425000.0
2.0,0.75,900,9600,1.0,0,0,3,6,900.0,0,1250,14280,73,0,47.4604,-122.339,98166,180250.0
5.5,3.0,2300,3404,2.0,0,0,3,7,1600.0,700,1560,1312,94,1,47.7067,-122.343,98133,464000.0
4.0,2.25,1550,7579,2.0,0,0,3,8,1550.0,0,1630,6397,22,0,47.354,-122.047,98038,320000.0
3.0,2.25,1270,1566,2.0,0,0,3,8,1060.0,210,1160,1327,0,0,47.6647,-122.284,98105,625504.0
4.0,2.5,2240,12032,1.0,0,0,3,9,2240.0,0,2520,12368,31,0,47.6143,-122.017,98074,592500.0
3.0,2.5,2714,17936,2.0,0,0,3,9,2714.0,0,2590,18386,10,0,47.3185,-122.275,98001,465000.0
4.0,2.75,1720,6270,2.0,0,0,3,8,1720.0,0,2130,8700,36,0,47.5458,-122.268,98118,477000.0
2.0,1.0,850,16400,1.0,0,0,3,6,850.0,0,1100,14459,92,0,47.4889,-122.299,98168,280000.0
5.0,3.0,3300,33474,1.0,0,3,3,9,1870.0,1430,3836,20953,58,1,47.5673,-122.21,98040,1505000.0
3.0,2.5,2250,5692,2.0,0,0,3,8,2250.0,0,1320,5390,14,0,47.5133,-122.379,98146,445838.0
2.0,2.25,3900,14864,1.0,0,3,3,8,1950.0,1950,2580,5184,67,0,47.5884,-122.291,98144,1072000.0
2.0,1.5,1320,10800,1.0,0,0,4,8,1320.0,0,2120,12040,67,0,47.7145,-122.367,98177,467000.0
4.0,2.5,2760,6440,2.0,0,0,3,10,2760.0,0,3070,8127,15,0,47.5836,-122.026,98075,686000.0
3.0,2.0,1750,9750,1.0,0,0,3,7,1350.0,400,1900,10125,53,0,47.398,-122.299,98198,279950.0
4.0,2.25,2330,19436,2.0,0,0,3,8,2330.0,0,1910,10055,27,0,47.7663,-122.215,98011,527000.0
3.0,2.25,2220,16020,1.0,0,0,4,8,1780.0,440,2080,9583,48,0,47.3758,-122.217,98030,325000.0
3.0,2.25,2020,8379,2.0,0,0,3,7,2020.0,0,2020,8031,20,0,47.3828,-122.023,98038,328000.0
3.0,2.25,1250,7500,1.0,0,0,5,7,1250.0,0,1280,7392,72,0,47.5123,-122.373,98146,390000.0
